Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Scotland Vs Zimbabwe,Scotland,Michael Jones ,4,5,1,0,80.00,2,out,1838
Scotland Vs Zimbabwe,Scotland,Matthew Cross ,1,7,0,0,14.28,3,out,1838
Scotland Vs Zimbabwe,Scotland,Richie Berrington ,13,15,0,0,86.66,4,out,1838
Scotland Vs Zimbabwe,Scotland,Calum MacLeod ,25,26,1,0,96.15,5,out,1838
Scotland Vs Zimbabwe,Scotland,Michael Leask ,12,9,2,0,133.33,6,out,1838
Scotland Vs Zimbabwe,Scotland,Chris Greaves ,3,7,0,0,42.85,7,not out ,1838
Scotland Vs Zimbabwe,Scotland,Josh Davey ,4,3,0,0,133.33,8,not out ,1838
Scotland Vs Zimbabwe,Zimbabwe,Regis Chakabva ,4,3,1,0,133.33,1,out,1838
Scotland Vs Zimbabwe,Zimbabwe,Craig Ervine ,58,54,6,0,107.40,2,out,1838
Scotland Vs Zimbabwe,Zimbabwe,Wessly Madhevere ,0,5,0,0,0.00,3,out,1838
Scotland Vs Zimbabwe,Zimbabwe,Sean Williams ,7,12,0,0,58.33,4,out,1838
Scotland Vs Zimbabwe,Zimbabwe,Sikandar Raza ,40,23,3,2,173.91,5,out,1838
Scotland Vs Zimbabwe,Zimbabwe,Milton Shumba ,11,11,0,0,100.00,6,not out ,1838
Scotland Vs Zimbabwe,Zimbabwe,Ryan Burl ,9,5,1,0,180.00,7,not out ,1838
New Zealand Vs Australia,New Zealand,Finn Allen ,42,16,5,3,262.50,1,out,1839
New Zealand Vs Australia,New Zealand,Devon Conway ,92,58,7,2,158.62,2,not out ,1839
New Zealand Vs Australia,New Zealand,Kane Williamson ,23,23,1,1,100.00,3,out,1839
New Zealand Vs Australia,New Zealand,Glenn Phillips ,12,10,2,0,120.00,4,out,1839
New Zealand Vs Australia,New Zealand,James Neesham ,26,13,0,2,200.00,5,not out ,1839
New Zealand Vs Australia,Australia,David Warner ,5,6,1,0,83.33,1,out,1839
New Zealand Vs Australia,Australia,Aaron Finch ,13,11,1,1,118.18,2,out,1839
New Zealand Vs Australia,Australia,Mitchell Marsh ,16,12,2,1,133.33,3,out,1839
New Zealand Vs Australia,Australia,Glenn Maxwell ,28,20,3,1,140.00,4,out,1839
New Zealand Vs Australia,Australia,Marcus Stoinis ,7,14,0,0,50.00,5,out,1839
New Zealand Vs Australia,Australia,Tim David ,11,8,0,1,137.50,6,out,1839
New Zealand Vs Australia,Australia,Matthew Wade ,2,4,0,0,50.00,7,out,1839
New Zealand Vs Australia,Australia,Pat Cummins ,21,18,2,1,116.66,8,out,1839
